(134, 'Bankura', '23.24 N', '87.07 E', 'West Bengal', 'Bengali'),
(135, 'Bansbaria', '22.95 N', '88.40 E', 'West Bengal', 'Bengali'),
(136, 'Baranagar', '22.64 N', '88.37 E', 'West Bengal', 'Bengali'),
(137, 'Barddhaman', '23.24 N', '87.86 E', 'West Bengal', 'Bengali'),
(138, 'Basirhat', '22.66 N', '88.86 E', 'West Bengal', 'Bengali'),
(139, 'Bhadreswar', '22.84 N', '88.35 E', 'West Bengal', 'Bengali'),
(140, 'Bhatpara', '22.89 N', '88.42 E', 'West Bengal', 'Bengali'),
(141, 'Bidhannagar', '22.57 N', '88.42 E', 'West Bengal', 'Bengali'),
(142, 'Binnaguri', '26.74 N', '89.037 E', 'West Bengal', 'Bengali'),
(143, 'Bishnupur', '23.08 N', '87.33 E', 'West Bengal', 'Bengali'),
(144, 'Bolpur', '23.67 N', '87.70 E', 'West Bengal', 'Bengali'),
(145, 'Calcutta', '22.57 N', '88.36 E', 'West Bengal', 'Bengali'),
(146, 'Chakdaha', '22.48 N', '88.35 E', 'West Bengal', 'Bengali'),
(147, 'Champdani', '22.81 N', '88.34 E', 'West Bengal', 'Bengali'),
(148, 'Chandannagar', '22.89 N', '88.37 E', 'West Bengal', 'Bengali'),
(149, 'Contai', '21.79 N', '87.75 E', 'West Bengal', 'Bengali'),
(150, 'Dabgram', '26.69 N', '88.44 E', 'West Bengal', 'Bengali'),
(151, 'Darjiling', '27.05 N', '88.26 E', 'West Bengal', 'Bengali'),
(152, 'Dhulian', '24.68 N', '87.97 E', 'West Bengal', 'Bengali'),
(153, 'Dinhata', '26.13 N', '89.47 E', 'West Bengal', 'Bengali'),
(154, 'Dum Dum', '22.63 N', '88.42 E', 'West Bengal', 'Bengali'),
(155, 'Durgapur', '23.50 N', '87.31 E', 'West Bengal', 'Bengali'),
(156, 'Gangarampur', '25.40 N', '88.52 E', 'West Bengal', 'Bengali'),
